"site_name","site_id","ccamlr.region","longitude_epsg_4326","latitude_epsg_4326","common_name","day","month","year","season_starting","penguin_count","accuracy","count_type","vantage","reference"
"False Round Point","FRPT",48.1,-57.9893,-61.8982999999992,"chinstrap penguin",NA,NA,1980,1980,49410,2,"nests","ground","<strong>Jab&#322;onski  B.  </strong><i> 1984a</i>. Distribution and numbers of penguins in the region of King George Island (South Shetland Islands in the breeding season 1980/1981*). Polish Polar Research 5:17-30."
"Fur Seal Point","FURS",48.1,-54.043,-61.217999999999,"chinstrap penguin",4,2,1977,1976,70450,4,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Gam Point Area","GAMP",48.1,-57.9546,-61.9226999999992,"chinstrap penguin",NA,NA,1980,1980,90,2,"nests","ground","<strong>Jab&#322;onski  B.  </strong><i> 1984a</i>. Distribution and numbers of penguins in the region of King George Island (South Shetland Islands in the breeding season 1980/1981*). Polish Polar Research 5:17-30."
"Cape Garry","GARY",48.1,-62.258,-63.3609999999995,"chinstrap penguin",5,2,1987,1986,200000,5,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Gaston Islands","GAST",48.1,-61.827,-64.4847999999996,"chinstrap penguin",24,1,2018,2017,323,1,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Georges Point (Ronge Island)","GEOR",48.1,-62.6696,-64.6693999999996,"chinstrap penguin",15,2,2018,2017,207,1,"chicks","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Gerlache Island","GERL",48.1,-64.214,-64.6009999999996,"chinstrap penguin",2,1,1985,1984,1000,5,"nests","ground","<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129."
"Gibbs Island","GIBB",48.1,-55.6385,-61.4709999999991,"chinstrap penguin",19,2,2004,2003,80000,4,"adults","ground","<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653."
"Golfcourse Point","GOLF",48.1,-55.473,-61.127999999999,"chinstrap penguin",18,1,1971,1970,390,4,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Gourdin Island","GOUR",48.1,-57.3074,-63.1968999999995,"chinstrap penguin",10,1,2015,2014,NA,NA,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"The Green Glen","GREE",48.1,-55.266,-61.270999999999,"chinstrap penguin",19,12,1970,1970,11555,3,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Green Island","GREI",48.1,-64.1487,-65.3235999999997,"chinstrap penguin",6,1,2013,2012,0,1,"nests","ground","<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653."
"Georges Rib","GRIB",48.1,-54.973,-61.156999999999,"chinstrap penguin",18,1,1971,1970,280,3,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Grinder Rock","GRIN",48.1,-61.4256,-63.9659999999996,"chinstrap penguin",29,1,1986,1985,120,5,"nests","ground","<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129."
"Half Moon Island","HALF",48.1,-59.918,-62.5959999999993,"chinstrap penguin",3,12,2016,2016,1903,1,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Hannah Point","HANN",48.1,-60.6134,-62.6544999999994,"chinstrap penguin",28,1,2016,2015,773,1,"chicks","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Harmony Point (east)","HARE",48.1,-59.229,-62.3039999999993,"chinstrap penguin",1,2,1987,1986,1750,3,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Harmony Point","HARM",48.1,-59.2425,-62.3063999999993,"chinstrap penguin",NA,NA,1995,1995,89685,2,"nests","ground","<strong>Silva  M. P.  M. Favero  R. J. Casaux  and A. Baroni  </strong><i> 1998</i>. The status of breeding birds at Harmony Point  Nelson Island  Antarctica in summer 1995/96. Marine Ornithology 26:75-78."
"Hennequin Point","HENN",48.1,-58.396,-62.1239999999992,"chinstrap penguin",NA,NA,1956,1956,NA,NA,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Heroina Island","HERO",48.1,-54.6083,-63.3943999999995,"chinstrap penguin",9,12,2015,2015,27,1,"nests","ground","<strong>Borowicz  A.  P. McDowall  C. Youngflesh  T. Sayre-McCord  G. Clucas  R. Herman  S. Forrest  M. Rider  M. Schwaller  T. Hart  S. Jenouvrier  M. Polito  H. Singh  and H. J. Lynch  </strong><i>2018</i>. Multi-modal survey of Ad&#233;lie penguin mega-colonies reveals the Danger Islands as a seabird hotspot. Scientific Reports 8:3926."
"Heywood Island","HEYW",48.1,-59.6854,-62.3173999999993,"chinstrap penguin",6,1,1966,1965,23000,4,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Cape Hooker","HOOK",48.1,-61.963,-63.3339999999995,"chinstrap penguin",5,2,1987,1986,17500,4,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Cape Hooker Rock (south)","HORS",48.1,-61.982,-63.3449999999995,"chinstrap penguin",5,2,1987,1986,4500,3,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Hall Peninsula (northeast)","HPNE",48.1,-61.241,-62.7689999999994,"chinstrap penguin",8,2,1987,1986,3000,3,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Hall Peninsula (southwest)","HPSW",48.1,-61.244,-62.7749999999994,"chinstrap penguin",15,12,2011,2011,1316,1,"nests","ground","<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653."
"Humble Island","HUMB",48.1,-64.0875,-64.7646999999996,"chinstrap penguin",10,12,2011,2011,0,1,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Two Hummock Island","HUMM",48.1,-61.7033,-64.1361999999996,"chinstrap penguin",16,3,1986,1985,3000,5,"nests","ground","<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129."
"Hunt Island","HUNT",48.1,-62.117,-64.3329999999996,"chinstrap penguin",2,2,1987,1986,400,4,"nests","ground","<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129."
"Hut Bluff","HUTB",48.1,-55.14,-61.218999999999,"chinstrap penguin",20,12,1970,1970,10810,3,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Hydrurga Rocks","HYDR",48.1,-61.6259,-64.1453999999996,"chinstrap penguin",21,12,2016,2016,1185,1,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Intercurrence Island","INTE",48.1,-61.416,-63.9329999999996,"chinstrap penguin",29,1,1986,1985,500,5,"nests","ground","<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129."
"Isles of Litwin Bay","IOLB",48.1,-58.569,-61.9899999999992,"chinstrap penguin",NA,NA,1980,1980,12630,2,"nests","ground","<strong>Jab&#322;onski  B.  </strong><i> 1984a</i>. Distribution and numbers of penguins in the region of King George Island (South Shetland Islands in the breeding season 1980/1981*). Polish Polar Research 5:17-30."
"Jacobs Ladder","JACO",48.1,-54.737,-61.151999999999,"chinstrap penguin",18,1,1971,1970,6000,3,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Jacques Peak","JACP",48.1,-61.8342,-64.5151999999996,"chinstrap penguin",25,12,2017,2017,37,1,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Cape James","JAME",48.1,-62.6979,-63.0902999999994,"chinstrap penguin",5,2,1987,1986,10000,4,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Jaquinot Rocks","JAQU",48.1,-58.421,-63.4409999999995,"chinstrap penguin",NA,NA,1990,1990,35,4,"nests","","<strong>Woehler  E. J.  </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR)  Cambridge  United Kingdom."
"Jingle Island","JING",48.1,-65.3253,-65.4302999999997,"chinstrap penguin",7,1,2013,2012,2,1,"nests","ground","<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653."
"Jorge Island","JORG",48.1,-59.7607,-62.3797999999993,"chinstrap penguin",10,12,1999,1999,3733,4,"nests","landsat","<strong>Lynch  H. J. and M. R. Schwaller  </strong><i> 2014</i>. Mapping the abundance and distribution of Ad&#233;lie penguins using Landsat-7: First steps towards an integrated multi-sensor pipeline for tracking populations at the continental scale. PLoS ONE 9:e113301."
"Joubin Islands","JOUB",48.1,-64.3992,-64.7743999999996,"chinstrap penguin",9,2,1987,1986,15,1,"chicks","ground","<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129."
"Jameson Point Islands","JPTI",48.1,-62.2622,-63.2943999999995,"chinstrap penguin",5,2,1987,1986,2750,3,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Jameson Point (south)","JPTS",48.1,-62.2524,-63.3078999999995,"chinstrap penguin",5,2,1987,1986,1500,3,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Jameson Point (vicinity)","JPTV",48.1,-62.2583,-63.2959999999995,"chinstrap penguin",5,2,1987,1986,55000,5,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Juan Carlos I Station","JUAN",48.1,-60.383,-62.6499999999993,"chinstrap penguin",29,12,2013,2013,NA,NA,"nests","vhr","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Cape Kater","KATE",48.1,-59.8471,-63.7741999999995,"chinstrap penguin",NA,1,1984,1983,NA,NA,"nests","ground","<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129."
"Kay Rock","KAYR",48.1,-60.935,-64.1259999999996,"chinstrap penguin",17,1,2011,2010,0,1,"nests","ground","<strong>Gonz&#225;lez-Zevallos  D.  M. M. Santos  E. F. Rombol&#225;  M. A. Ju&#225;res  and N. R. Coria  </strong><i> 2013</i>. Abundance and breeding distribution of seabirds in the northern part of the Danco Coast  Antarctic Peninsula. Polar Research 32:1-7."
"Kellick Island","KELL",48.1,-58.3928,-61.9185999999992,"chinstrap penguin",31,1,1987,1986,40000,5,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Ketley Point","KETL",48.1,-62.7631,-64.7065999999996,"chinstrap penguin",17,1,1984,1983,250,4,"nests","ground","<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129."
"Kitchen Point","KITC",48.1,-59.347,-62.3869999999993,"chinstrap penguin",11,2,1987,1986,2500,4,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Cape Kjellman","KJEL",48.1,-59.4145,-63.7248999999995,"chinstrap penguin",18,1,1987,1986,NA,NA,"nests","ground","<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129."
"Lair Point","LAIR",48.1,-61.0353,-62.6149999999993,"chinstrap penguin",3,2,1987,1986,50,2,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Lajarte Island","LAJA",48.1,-63.4752,-64.2356999999996,"chinstrap penguin",NA,NA,1990,1990,800,4,"nests","","<strong>Woehler  E. J.  </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR)  Cambridge  United Kingdom."
"Islet south of Le Petit Prince","LEPP",48.1,-58.021,-61.9109999999992,"chinstrap penguin",NA,NA,1980,1980,230,2,"nests","ground","<strong>Jab&#322;onski  B.  </strong><i> 1984a</i>. Distribution and numbers of penguins in the region of King George Island (South Shetland Islands in the breeding season 1980/1981*). Polish Polar Research 5:17-30."
"Lions Rump","LION",48.1,-58.1229,-62.1330999999992,"chinstrap penguin",NA,NA,2010,2010,32,1,"nests","ground","<strong>Korczak-Abshire  M.  M. W&#281;grzyn  P. J. Angiel  and M. Lisowska  </strong><i> 2013</i>. Pygoscelid penguins breeding distribution and population trends at Lions Rump rookery  King George Island. Polish Polar Research 34:87-99."
"Litwin Bay (southwest of Davey Point)","LITW",48.1,-58.565,-61.9869999999992,"chinstrap penguin",NA,NA,1980,1980,8500,1,"nests","ground","<strong>Jab&#322;onski  B.  </strong><i> 1984a</i>. Distribution and numbers of penguins in the region of King George Island (South Shetland Islands in the breeding season 1980/1981*). Polish Polar Research 5:17-30."
"Llano Point","LLAN",48.1,-58.446,-62.1759999999992,"chinstrap penguin",NA,NA,1996,1996,2,1,"nests","ground","<strong>Ciaputa  P. and K. Sierakowski  </strong><i> 1999</i>. Long-term population changes of Ad&#233;lie  chinstrap  and gentoo penguins in the regions of SSSI No. 8 and SSSI No. 34  King George Island  Antarctica. Polish Polar Research 20:355-365. 5"
"Cape Lloyd","LLOY",48.1,-54.0103,-61.129799999999,"chinstrap penguin",4,2,1977,1976,100,4,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Lobodon Island","LOBO",48.1,-61.6009,-64.0859999999996,"chinstrap penguin",29,1,1986,1985,10,1,"nests","ground","<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129."
"Cape Lookout","LOOK",48.1,-55.205,-61.277999999999,"chinstrap penguin",13,12,2016,2016,2869,1,"nests","ground photo","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Miers Bluff Cove (northeast)","MBNE",48.1,-60.431,-62.7159999999994,"chinstrap penguin",9,2,1987,1986,200,3,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Miers Bluff (northwest)","MBNW",48.1,-60.431,-62.7159999999994,"chinstrap penguin",9,2,1987,1986,80,3,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Megaptera Island","MEGA",48.1,-60.806,-63.6779999999995,"chinstrap penguin",22,1,1987,1986,900,4,"nests","ground","<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129."
"Metchnikoff Point","METC",48.1,-62.5747,-64.0409999999996,"chinstrap penguin",29,12,1983,1983,5000,5,"nests","ground","<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129."
"Midas Island","MIDA",48.1,-61.1008,-64.1684999999996,"chinstrap penguin",21,2,2016,2015,180,1,"chicks","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Miers Bluff","MIER",48.1,-60.4282,-62.7166999999994,"chinstrap penguin",8,12,2010,2010,2307,1,"nests","ground","<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653."
"Monument Rocks","MONU",48.1,-60.9433,-64.0169999999996,"chinstrap penguin",16,1,1984,1983,270,4,"nests","ground","<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129."
"Monroe Point","MOPT",48.1,-61.5162,-62.8111999999994,"chinstrap penguin",4,2,1987,1986,2000,3,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Macaroni Point (east)","MPTE",48.1,-60.543,-62.8986999999994,"chinstrap penguin",NA,12,2011,2011,885,2,"nests","ground","<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653."
"Macaroni Point (west)","MPTW",48.1,-60.5833,-62.8990999999994,"chinstrap penguin",NA,12,2011,2011,2448,1,"nests","ground","<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653."
"Muckle Bluff","MUCK",48.1,-54.86,-61.156999999999,"chinstrap penguin",18,1,1971,1970,3000,3,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Nancy Rock","NANC",48.1,-59.099,-62.2299999999993,"chinstrap penguin",1,2,1987,1986,NA,NA,"nests","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"North of Cornwall Island","NCOI",48.1,-59.702,-62.3299999999993,"chinstrap penguin",NA,NA,1987,1987,3000,3,"nests","","<strong>Woehler  E. J.  </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR)  Cambridge  United Kingdom."
"Nelly Point","NEPT",48.1,-54.775,-61.156999999999,"chinstrap penguin",18,1,1971,1970,150,3,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Newell Point","NEWE",48.1,-59.52,-62.3373999999993,"chinstrap penguin",1,2,1987,1986,17500,4,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"North Foreland","NFOR",48.1,-57.688,-61.8927999999992,"chinstrap penguin",31,1,1987,1986,60000,5,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Promontories on north-central coast","NPRO",48.1,-62.075,-63.2499999999994,"chinstrap penguin",5,2,1987,1986,100,3,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"O'Brien Island","OBRI",48.1,-55.956,-61.5069999999991,"chinstrap penguin",29,12,1976,1976,21400,4,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Offshore Rocks off Cape Wallace","ORCW",48.1,-62.228,-63.2349999999994,"chinstrap penguin",5,2,1987,1986,8100,4,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Orne Islands","ORNE",48.1,-62.673,-64.6619999999997,"chinstrap penguin",24,1,2018,2017,250,1,"chicks","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Ornen Rocks","ORRO",48.1,-57.566,-62.0089999999992,"chinstrap penguin",27,1,1967,1966,1100,3,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Owen Island","OWEN",48.1,-58.3886,-61.9331999999992,"chinstrap penguin",29,1,1987,1986,25000,4,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Palaver Point","PALA",48.1,-61.759,-64.1485999999996,"chinstrap penguin",13,12,2011,2011,352,3,"nests","ground","<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653."
"Patelnia Point","PAPT",48.1,-58.472,-62.2349999999993,"chinstrap penguin",NA,NA,1996,1996,1343,2,"nests","ground","<strong>Myrcha  A.  </strong><i> 1993</i>. Birds. In S. Rakusa-Suszczewski  editor  The maritime Antarctic coastal ecosystem of Admiralty Bay  pages 129-141. Department of Antarctic Biology  Polish Academy of Sciences  Warsaw  Poland."
"Port Charcot","PCHA",48.1,-64.026,-65.0669999999997,"chinstrap penguin",19,1,2018,2017,18,1,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Penguin Island","PENG",48.1,-57.9269,-62.1019999999992,"chinstrap penguin",16,1,2018,2017,2252,2,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Petermann Island","PETE",48.1,-64.137,-65.1759999999997,"chinstrap penguin",14,1,2015,2014,0,1,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
